"","county_desc","site_name","election_dt","site_total_age","age_percent_Age 18 - 25","age_percent_Age 26 - 40","age_percent_Age 41 - 65","age_percent_Age Over 66","age_percent_NA","n_Age 18 - 25","n_Age 26 - 40","n_Age 41 - 65","n_Age Over 66","n_NA","site_total_ethnicity","ethnicity_percent_HISPANIC or LATINO","ethnicity_percent_NOT HISPANIC or NOT LATINO","ethnicity_percent_UNDESIGNATED ETHNICITY","n_HISPANIC or LATINO","n_NOT HISPANIC or NOT LATINO","n_UNDESIGNATED ETHNICITY","site_total","race_percent_ASIAN","race_percent_BLACK or AFRICAN AMERICAN","race_percent_INDIAN AMERICAN or ALASKA NATIVE","race_percent_OTHER","race_percent_TWO or MORE RACES","race_percent_UNDESIGNATED RACE","race_percent_WHITE","race_percent_'UNDESIGNATED","n_ASIAN","n_BLACK or AFRICAN AMERICAN","n_INDIAN AMERICAN or ALASKA NATIVE","n_OTHER","n_TWO or MORE RACES","n_UNDESIGNATED RACE","n_WHITE","n_'UNDESIGNATED","n","sdr_percent","race_percent_NATIVE HAWAIIAN or PACIFIC ISLANDER","n_NATIVE HAWAIIAN or PACIFIC ISLANDER","election"
"493","BUNCOMBE","NORTH ASHEVILLE BRANCH LIBRARY","11/07/2017",1252,0.01,0.07,0.364,0.553,0.002,13,88,456,692,3,NA,NA,NA,NA,NA,NA,NA,1252,0.002,0.006,NA,0.014,0.002,0.026,0.95,NA,3,8,NA,17,2,33,1189,NA,13,0.01,NA,NA,"2017-11"
"494","BUNCOMBE","SOUTH BUNCOMBE BRANCH LIBRARY","11/07/2017",958,0.006,0.07,0.324,0.6,NA,6,67,310,575,NA,NA,NA,NA,NA,NA,NA,NA,958,0.006,0.023,0.001,0.023,0.003,0.024,0.92,NA,6,22,1,22,3,23,881,NA,5,0.005,NA,NA,"2017-11"
"495","BUNCOMBE","WEST ASHEVILLE BRANCH LIBRARY","11/07/2017",851,0.014,0.321,0.409,0.255,0.001,12,273,348,217,1,NA,NA,NA,NA,NA,NA,NA,851,0.006,0.018,0.002,0.025,0.008,0.043,0.898,NA,5,15,2,21,7,37,764,NA,7,0.008,NA,NA,"2017-11"
"496","BURKE","BURKE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",624,0.021,0.053,0.45,0.466,0.01,13,33,281,291,6,NA,NA,NA,NA,NA,NA,NA,624,0.008,0.048,0.002,0.002,NA,0.003,0.938,NA,5,30,1,1,NA,2,585,NA,11,0.018,NA,NA,"2017-11"
"497","BURKE","BURKE COUNTY LIBRARY/SENIOR CENTER","11/07/2017",290,0.007,0.066,0.383,0.541,0.003,2,19,111,157,1,NA,NA,NA,NA,NA,NA,NA,290,0.007,0.007,0.003,NA,NA,0.003,0.979,NA,2,2,1,NA,NA,1,284,NA,3,0.01,NA,NA,"2017-11"
"498","BURKE","GLEN ALPINE TOWN HALL","11/07/2017",260,0.019,0.077,0.365,0.535,0.004,5,20,95,139,1,NA,NA,NA,NA,NA,NA,NA,260,0.012,0.054,0.004,NA,0.004,0.023,0.904,NA,3,14,1,NA,1,6,235,NA,5,0.019,NA,NA,"2017-11"
"499","BURKE","RUTHERFORD COLLEGE TOWN HALL","11/07/2017",225,0.013,0.036,0.36,0.582,0.009,3,8,81,131,2,NA,NA,NA,NA,NA,NA,NA,225,NA,0.031,NA,0.009,NA,NA,0.96,NA,NA,7,NA,2,NA,NA,216,NA,NA,NA,NA,NA,"2017-11"
"500","BURKE","SENIOR CENTER","11/07/2017",1247,0.013,0.049,0.373,0.563,0.002,16,61,465,702,3,NA,NA,NA,NA,NA,NA,NA,1247,0.002,0.145,0.002,0.005,0.001,0.004,0.841,NA,3,181,2,6,1,5,1049,NA,10,0.008,NA,NA,"2017-11"
"501","CABARRUS","CABARRUS COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",1532,0.023,0.091,0.407,0.476,0.003,35,139,624,729,5,NA,NA,NA,NA,NA,NA,NA,1532,0.005,0.162,0.001,0.006,0.003,0.012,0.812,NA,7,248,2,9,4,18,1244,NA,13,0.008,NA,NA,"2017-11"
"502","CALDWELL","CITY/COUNTY CHAMBERS ROOM","11/07/2017",564,0.012,0.041,0.401,0.544,0.002,7,23,226,307,1,NA,NA,NA,NA,NA,NA,NA,564,NA,0.197,NA,0.002,0.002,0.005,0.794,NA,NA,111,NA,1,1,3,448,NA,5,0.009,NA,NA,"2017-11"
"503","CALDWELL","SHUFORD RECREATION CENTER","11/07/2017",226,0.018,0.062,0.394,0.509,0.018,4,14,89,115,4,NA,NA,NA,NA,NA,NA,NA,226,0.004,0.009,NA,0.009,NA,0.013,0.965,NA,1,2,NA,2,NA,3,218,NA,3,0.013,NA,NA,"2017-11"
"504","CARTERET","CARTERET COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",543,0.007,0.048,0.355,0.589,NA,4,26,193,320,NA,NA,NA,NA,NA,NA,NA,NA,543,0.007,0.07,NA,0.002,0.006,0.022,0.893,NA,4,38,NA,1,3,12,485,NA,11,0.02,NA,NA,"2017-11"
"505","CARTERET","FORT BENJAMIN PARK RECREATION CENTER","11/07/2017",190,0.047,0.042,0.432,0.479,NA,9,8,82,91,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,0.063,NA,0.005,0.005,0.005,0.921,NA,NA,12,NA,1,1,1,175,NA,NA,NA,NA,NA,"2017-11"
"506","CARTERET","WESTERN PARK COMMUNITY CENTER","11/07/2017",377,0.021,0.016,0.334,0.629,NA,8,6,126,237,NA,NA,NA,NA,NA,NA,NA,NA,377,NA,0.003,0.003,0.003,NA,0.021,0.971,NA,NA,1,1,1,NA,8,366,NA,3,0.008,NA,NA,"2017-11"
"507","CASWELL","CASWELL COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",70,0.043,0.057,0.457,0.443,NA,3,4,32,31,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,0.457,NA,0.014,NA,0.014,0.514,NA,NA,32,NA,1,NA,1,36,NA,4,0.057,NA,NA,"2017-11"
"508","CATAWBA","HIGHLAND RECREATION CENTER","11/07/2017",1771,0.021,0.077,0.404,0.494,0.005,37,136,715,875,8,NA,NA,NA,NA,NA,NA,NA,1771,0.003,0.108,NA,0.004,0.002,0.006,0.877,NA,6,191,NA,7,3,11,1553,NA,12,0.007,NA,NA,"2017-11"
"509","CATAWBA","MAIN LIBRARY","11/07/2017",818,0.027,0.093,0.379,0.491,0.01,22,76,310,402,8,NA,NA,NA,NA,NA,NA,NA,818,0.001,0.056,NA,0.007,0.005,0.007,0.923,NA,1,46,NA,6,4,6,755,NA,13,0.016,NA,NA,"2017-11"
"510","CHATHAM","CHATHAM COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",383,0.016,0.086,0.41,0.48,0.008,6,33,157,184,3,NA,NA,NA,NA,NA,NA,NA,383,0.01,0.24,0.005,0.01,0.013,0.034,0.687,NA,4,92,2,4,5,13,263,NA,5,0.013,NA,NA,"2017-11"
"511","CHOWAN","CHOWAN COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",298,NA,0.047,0.305,0.648,NA,NA,14,91,193,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,0.205,NA,0.007,NA,0.007,0.782,NA,NA,61,NA,2,NA,2,233,NA,NA,NA,NA,NA,"2017-11"
"512","CLEVELAND","CLEVELAND COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",2297,0.02,0.072,0.432,0.472,0.004,45,165,993,1084,10,NA,NA,NA,NA,NA,NA,NA,2297,0,0.325,0,0.005,0.001,0.009,0.659,NA,1,747,1,11,3,21,1513,NA,31,0.013,NA,NA,"2017-11"
"513","COLUMBUS","COLUMBUS COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",373,0.019,0.064,0.359,0.558,NA,7,24,134,208,NA,NA,NA,NA,NA,NA,NA,NA,373,NA,0.343,0.005,NA,0.003,NA,0.649,NA,NA,128,2,NA,1,NA,242,NA,9,0.024,NA,NA,"2017-11"
"514","CRAVEN","CRAVEN COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",146,0.014,0.007,0.336,0.644,NA,2,1,49,94,NA,NA,NA,NA,NA,NA,NA,NA,146,0.007,0.062,NA,NA,0.014,0.041,0.877,NA,1,9,NA,NA,2,6,128,NA,NA,NA,NA,NA,"2017-11"
"515","CUMBERLAND","CUMBERLAND COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",4173,0.023,0.074,0.443,0.456,0.003,97,310,1849,1903,14,NA,NA,NA,NA,NA,NA,NA,4173,0.004,0.592,0.002,0.018,0.004,0.017,0.363,NA,16,2472,8,74,15,72,1516,NA,24,0.006,NA,NA,"2017-11"
"516","DARE","DARE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",351,0.006,0.097,0.442,0.456,NA,2,34,155,160,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,0.054,NA,0.003,0.003,0.006,0.934,NA,NA,19,NA,1,1,2,328,NA,4,0.011,NA,NA,"2017-11"
"517","DARE","KILL DEVIL HILLS TOWN HALL","11/07/2017",619,0.013,0.066,0.41,0.509,0.002,8,41,254,315,1,NA,NA,NA,NA,NA,NA,NA,619,NA,0.003,0.002,0.003,0.002,0.016,0.974,NA,NA,2,1,2,1,10,603,NA,5,0.008,NA,NA,"2017-11"
"518","DAVIDSON","DAVIDSON COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",282,0.018,0.082,0.486,0.411,0.004,5,23,137,116,1,NA,NA,NA,NA,NA,NA,NA,282,NA,0.564,NA,NA,NA,0.007,0.429,NA,NA,159,NA,NA,NA,2,121,NA,7,0.025,NA,NA,"2017-11"
"519","DAVIDSON","THOMASVILLE LIBRARY","11/07/2017",328,0.012,0.049,0.396,0.543,NA,4,16,130,178,NA,NA,NA,NA,NA,NA,NA,NA,328,NA,0.256,NA,0.009,0.003,0.012,0.72,NA,NA,84,NA,3,1,4,236,NA,5,0.015,NA,NA,"2017-11"
"520","DAVIE","DAVIE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",258,0.019,0.101,0.38,0.496,0.004,5,26,98,128,1,NA,NA,NA,NA,NA,NA,NA,258,NA,0.074,0.004,NA,NA,0.004,0.919,NA,NA,19,1,NA,NA,1,237,NA,2,0.008,NA,NA,"2017-11"
"521","DUPLIN","DUPLIN COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",193,0.021,0.083,0.378,0.518,NA,4,16,73,100,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,0.285,NA,0.005,NA,0.016,0.694,NA,NA,55,NA,1,NA,3,134,NA,4,0.021,NA,NA,"2017-11"
"522","DURHAM","DURHAM COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",3520,0.028,0.237,0.429,0.302,0.003,100,835,1511,1064,10,NA,NA,NA,NA,NA,NA,NA,3520,0.011,0.3,0.002,0.018,0.008,0.031,0.63,NA,40,1055,6,62,29,110,2218,NA,44,0.013,NA,NA,"2017-11"
"523","DURHAM","NCCU ONESTOP","11/07/2017",671,0.079,0.203,0.456,0.247,0.015,53,136,306,166,10,NA,NA,NA,NA,NA,NA,NA,671,0.01,0.781,0.003,0.012,0.01,0.033,0.151,NA,7,524,2,8,7,22,101,NA,11,0.016,NA,NA,"2017-11"
"524","DURHAM","NORTH REGIONAL LIBRARY","11/07/2017",1688,0.014,0.129,0.395,0.459,0.003,24,218,667,774,5,NA,NA,NA,NA,NA,NA,NA,1688,0.01,0.392,0.003,0.008,0.009,0.014,0.565,NA,17,661,5,13,15,23,954,NA,7,0.004,NA,NA,"2017-11"
"525","DURHAM","SOUTH REGIONAL LIBRARY","11/07/2017",3519,0.016,0.173,0.435,0.373,0.002,58,609,1532,1314,6,NA,NA,NA,NA,NA,NA,NA,3519,0.013,0.429,0,0.012,0.007,0.026,0.512,NA,45,1511,1,43,24,92,1803,NA,32,0.009,NA,NA,"2017-11"
"526","EDGECOMBE","EDGECOMBE COUNTY ADMINISTRATIVE BUILDING - AUDITOR","11/07/2017",696,0.03,0.072,0.404,0.49,0.004,21,50,281,341,3,NA,NA,NA,NA,NA,NA,NA,696,NA,0.635,0.001,0.001,0.001,0.004,0.356,NA,NA,442,1,1,1,3,248,NA,19,0.027,NA,NA,"2017-11"
"527","FORSYTH","FORSYTH COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",189,0.026,0.074,0.466,0.418,0.016,5,14,88,79,3,NA,NA,NA,NA,NA,NA,NA,189,NA,0.069,NA,NA,0.005,0.016,0.91,NA,NA,13,NA,NA,1,3,172,NA,5,0.026,NA,NA,"2017-11"
"528","FRANKLIN","FRANKLIN COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",250,0.024,0.048,0.34,0.588,NA,6,12,85,147,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,0.46,NA,NA,0.004,0.008,0.528,NA,NA,115,NA,NA,1,2,132,NA,1,0.004,NA,NA,"2017-11"
"529","GASTON","BOARD OF ELECTIONS","11/07/2017",1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11"
"530","GASTON","GASTON COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",3463,0.027,0.088,0.463,0.417,0.005,93,305,1605,1444,16,NA,NA,NA,NA,NA,NA,NA,3463,0.003,0.439,0.002,0.008,0.003,0.018,0.527,NA,10,1520,6,29,11,61,1826,NA,46,0.013,NA,NA,"2017-11"
"531","GRAHAM","GRAHAM COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",110,0.009,0.155,0.4,0.427,0.009,1,17,44,47,1,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,0.027,NA,NA,0.036,0.936,NA,NA,NA,3,NA,NA,4,103,NA,3,0.027,NA,NA,"2017-11"
"532","GRANVILLE","RICHARD H. THORNTON LIBRARY CONFERENCE ROOM","11/07/2017",926,0.016,0.055,0.352,0.576,0.001,15,51,326,533,1,NA,NA,NA,NA,NA,NA,NA,926,0.005,0.467,0.002,0.011,0.001,0.008,0.506,NA,5,432,2,10,1,7,469,NA,4,0.004,NA,NA,"2017-11"
"533","GRANVILLE","SOUTH BRANCH LIBRARY","11/07/2017",522,0.01,0.071,0.425,0.481,0.013,5,37,222,251,7,NA,NA,NA,NA,NA,NA,NA,522,0.002,0.255,NA,0.008,0.002,0.017,0.716,NA,1,133,NA,4,1,9,374,NA,12,0.023,NA,NA,"2017-11"
"534","GREENE","GREENE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",67,0.03,0.015,0.418,0.537,NA,2,1,28,36,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,0.672,NA,NA,NA,NA,0.328,NA,NA,45,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,"2017-11"
"535","GUILFORD","BROWN RECREATION CENTER","11/07/2017",515,0.021,0.066,0.392,0.518,0.002,11,34,202,267,1,NA,NA,NA,NA,NA,NA,NA,515,0.002,0.829,0.002,0.008,0.004,0.004,0.151,NA,1,427,1,4,2,2,78,NA,5,0.01,NA,NA,"2017-11"
"536","GUILFORD","BUR-MIL CLUB","11/07/2017",1049,0.01,0.071,0.48,0.433,0.007,11,74,503,454,7,NA,NA,NA,NA,NA,NA,NA,1049,0.01,0.064,0.001,0.008,0.003,0.005,0.91,NA,10,67,1,8,3,5,955,NA,10,0.01,NA,NA,"2017-11"
"537","GUILFORD","CRAFT RECREATION CENTER","11/07/2017",440,0.007,0.077,0.425,0.489,0.002,3,34,187,215,1,NA,NA,NA,NA,NA,NA,NA,440,0.005,0.468,NA,0.005,0.007,0.007,0.509,NA,2,206,NA,2,3,3,224,NA,3,0.007,NA,NA,"2017-11"
"538","GUILFORD","DEEP RIVER RECREATION CENTER","11/07/2017",894,0.013,0.068,0.425,0.491,0.002,12,61,380,439,2,NA,NA,NA,NA,NA,NA,NA,894,0.004,0.168,NA,0.01,NA,0.013,0.804,NA,4,150,NA,9,NA,12,719,NA,6,0.007,NA,NA,"2017-11"
"539","GUILFORD","GUILFORD AG CENTER","11/07/2017",456,0.018,0.048,0.412,0.52,0.002,8,22,188,237,1,NA,NA,NA,NA,NA,NA,NA,456,0.002,0.862,NA,NA,0.007,0.007,0.123,NA,1,393,NA,NA,3,3,56,NA,1,0.002,NA,NA,"2017-11"
"540","GUILFORD","GUILFORD COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",1819,0.071,0.135,0.429,0.356,0.009,129,245,781,647,17,NA,NA,NA,NA,NA,NA,NA,1819,0.007,0.361,0.003,0.019,0.004,0.013,0.592,NA,13,657,6,35,7,24,1077,NA,38,0.021,NA,NA,"2017-11"
"541","GUILFORD","LEONARD RECREATION CENTER","11/07/2017",793,0.014,0.064,0.309,0.612,0.001,11,51,245,485,1,NA,NA,NA,NA,NA,NA,NA,793,0.005,0.11,0.001,0.009,0.005,0.005,0.865,NA,4,87,1,7,4,4,686,NA,6,0.008,NA,NA,"2017-11"
"542","GUILFORD","WASHINGTON TERRACE PARK","11/07/2017",1216,0.021,0.054,0.445,0.472,0.007,26,66,541,574,9,NA,NA,NA,NA,NA,NA,NA,1216,0.014,0.582,0.001,0.008,0.001,0.006,0.388,NA,17,708,1,10,1,7,472,NA,21,0.017,NA,NA,"2017-11"
"543","HALIFAX","AGRICULTURE BUILDING","11/07/2017",146,0.027,0.075,0.363,0.534,NA,4,11,53,78,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,0.753,0.014,NA,0.007,0.007,0.219,NA,NA,110,2,NA,1,1,32,NA,4,0.027,NA,NA,"2017-11"
"544","HALIFAX","HALIFAX COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"2017-11"
"545","HARNETT","HARNETT COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",51,0.02,0.059,0.373,0.549,NA,1,3,19,28,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,0.196,NA,NA,NA,0.059,0.745,NA,NA,10,NA,NA,NA,3,38,NA,2,0.039,NA,NA,"2017-11"
"546","HAYWOOD","HAYWOOD COUNTY SENIOR RESOURCE CENTER","11/07/2017",89,NA,0.045,0.303,0.64,0.011,NA,4,27,57,1,NA,NA,NA,NA,NA,NA,NA,89,NA,0.011,NA,0.011,NA,0.011,0.966,NA,NA,1,NA,1,NA,1,86,NA,1,0.011,NA,NA,"2017-11"
"547","HENDERSON","HENDERSON COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",433,0.007,0.048,0.298,0.647,NA,3,21,129,280,NA,NA,NA,NA,NA,NA,NA,NA,433,0.002,0.076,0.002,0.007,0.007,0.023,0.882,NA,1,33,1,3,3,10,382,NA,3,0.007,NA,NA,"2017-11"
"548","HERTFORD","HERTFORD COUNTY COOPERATIVE EXTENSION BLDG","11/07/2017",120,0.033,0.183,0.342,0.425,0.017,4,22,41,51,2,NA,NA,NA,NA,NA,NA,NA,120,NA,0.608,0.025,0.017,NA,0.008,0.342,NA,NA,73,3,2,NA,1,41,NA,8,0.067,NA,NA,"2017-11"
"549","HOKE","HOKE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",98,0.01,0.02,0.429,0.541,NA,1,2,42,53,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,0.173,0.01,0.01,0.01,NA,0.796,NA,NA,17,1,1,1,NA,78,NA,1,0.01,NA,NA,"2017-11"
"550","IREDELL","IREDELL COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",1500,0.013,0.075,0.395,0.513,0.003,20,113,593,769,5,NA,NA,NA,NA,NA,NA,NA,1500,0.004,0.136,0.001,0.005,NA,0.008,0.847,NA,6,204,1,7,NA,12,1270,NA,15,0.01,NA,NA,"2017-11"
"551","JACKSON","JACKSON COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",150,0.02,0.087,0.393,0.5,NA,3,13,59,75,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,0.02,0.013,NA,0.007,0.02,0.94,NA,NA,3,2,NA,1,3,141,NA,2,0.013,NA,NA,"2017-11"
"552","JOHNSTON","JOHNSTON COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",446,0.025,0.072,0.374,0.518,0.011,11,32,167,231,5,NA,NA,NA,NA,NA,NA,NA,446,NA,0.343,NA,0.002,0.002,0.007,0.646,NA,NA,153,NA,1,1,3,288,NA,12,0.027,NA,NA,"2017-11"
"553","JONES","JONES COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",10,NA,NA,0.7,0.3,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.1,NA,NA,NA,NA,0.9,NA,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,"2017-11"
"554","LEE","LEE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",384,0.021,0.078,0.344,0.552,0.005,8,30,132,212,2,NA,NA,NA,NA,NA,NA,NA,384,0.003,0.359,0.003,0.01,0.003,0.003,0.62,NA,1,138,1,4,1,1,238,NA,3,0.008,NA,NA,"2017-11"
"555","LENOIR","LAGRANGE COMMUNITY BUILDING","11/07/2017",64,NA,0.047,0.359,0.594,NA,NA,3,23,38,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,0.625,NA,NA,NA,NA,0.375,NA,NA,40,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,"2017-11"
"556","LENOIR","LENOIR COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",1277,0.018,0.06,0.358,0.564,0.001,23,76,457,720,1,NA,NA,NA,NA,NA,NA,NA,1277,0.001,0.406,0.001,0.004,0.002,0.005,0.581,NA,1,518,1,5,3,7,742,NA,11,0.009,NA,NA,"2017-11"
"557","LENOIR","TEACHERS MEMORIAL GYM","11/07/2017",625,0.045,0.141,0.435,0.373,0.006,28,88,272,233,4,NA,NA,NA,NA,NA,NA,NA,625,NA,0.946,NA,NA,NA,0.003,0.051,NA,NA,591,NA,NA,NA,2,32,NA,9,0.014,NA,NA,"2017-11"
"558","MACON","HIGHLANDS CIVIC CENTER","11/07/2017",36,NA,0.028,0.222,0.75,NA,NA,1,8,27,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,0.028,NA,0.972,NA,NA,NA,NA,NA,1,NA,35,NA,NA,NA,NA,NA,"2017-11"
"559","MACON","MACON COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",147,NA,0.061,0.265,0.673,NA,NA,9,39,99,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,0.007,NA,NA,0.993,NA,NA,NA,NA,1,NA,NA,146,NA,NA,NA,NA,NA,"2017-11"
"560","MARTIN","COMMISSIONER BOARD ROOM","11/07/2017",25,NA,0.12,0.4,0.48,NA,NA,3,10,12,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.56,NA,NA,NA,0.04,0.4,NA,NA,14,NA,NA,NA,1,10,NA,1,0.04,NA,NA,"2017-11"
"561","MCDOWELL","BOARD OF ELECTION OFFICE","11/07/2017",190,0.011,0.105,0.347,0.532,0.005,2,20,66,101,1,NA,NA,NA,NA,NA,NA,NA,190,NA,0.074,NA,0.005,NA,NA,0.921,NA,NA,14,NA,1,NA,NA,175,NA,2,0.011,NA,NA,"2017-11"
"562","MECKLENBURG","BEATTIES FORD LIBRARY","11/07/2017",2835,0.019,0.099,0.49,0.388,0.004,55,280,1390,1100,10,NA,NA,NA,NA,NA,NA,NA,2835,0.001,0.925,0.001,0.005,0.004,0.018,0.046,NA,4,2622,3,15,12,50,129,NA,15,0.005,NA,NA,"2017-11"
"563","MECKLENBURG","CORNELIUS TOWN HALL","11/07/2017",2974,0.014,0.068,0.466,0.449,0.003,42,202,1386,1336,8,NA,NA,NA,NA,NA,NA,NA,2974,0.005,0.039,0,0.008,0.003,0.02,0.924,NA,15,117,1,25,9,60,2747,NA,31,0.01,NA,NA,"2017-11"
"564","MECKLENBURG","ELON PARK RECREATION CENTER","11/07/2017",708,0.014,0.126,0.592,0.256,0.013,10,89,419,181,9,NA,NA,NA,NA,NA,NA,NA,708,0.071,0.136,0.004,0.027,0.003,0.016,0.744,NA,50,96,3,19,2,11,527,NA,5,0.007,NA,NA,"2017-11"
"565","MECKLENBURG","HAL MARSHALL ANNEX","11/07/2017",2647,0.021,0.185,0.517,0.275,0.002,56,491,1369,727,4,NA,NA,NA,NA,NA,NA,NA,2647,0.007,0.403,0.002,0.011,0.008,0.015,0.554,NA,18,1068,5,29,22,39,1466,NA,21,0.008,NA,NA,"2017-11"
"566","MECKLENBURG","INDEPENDENCE REGIONAL LIBRARY","11/07/2017",2060,0.018,0.114,0.47,0.392,0.005,37,235,969,808,11,NA,NA,NA,NA,NA,NA,NA,2060,0.012,0.367,0.003,0.017,0.005,0.02,0.575,NA,25,756,6,36,11,41,1185,NA,10,0.005,NA,NA,"2017-11"
"567","MECKLENBURG","MAIN BRANCH LIBRARY","11/07/2017",1496,0.032,0.315,0.555,0.096,0.001,48,471,831,144,2,NA,NA,NA,NA,NA,NA,NA,1496,0.021,0.198,0.004,0.021,0.006,0.021,0.729,NA,31,296,6,32,9,31,1091,NA,16,0.011,NA,NA,"2017-11"
"568","MECKLENBURG","MARION DIEHL CENTER","11/07/2017",1722,0.013,0.146,0.418,0.422,0.001,23,251,720,726,2,NA,NA,NA,NA,NA,NA,NA,1722,0.005,0.15,0.002,0.015,0.003,0.017,0.81,NA,8,258,3,25,5,29,1394,NA,6,0.003,NA,NA,"2017-11"
"569","MECKLENBURG","MATTHEWS LIBRARY","11/07/2017",2020,0.02,0.112,0.439,0.427,0.002,40,227,886,862,5,NA,NA,NA,NA,NA,NA,NA,2020,0.012,0.123,0.001,0.023,0.003,0.02,0.817,NA,24,249,3,46,7,41,1650,NA,11,0.005,NA,NA,"2017-11"
"570","MECKLENBURG","MINT HILL LIBRARY","11/07/2017",1081,0.01,0.083,0.424,0.476,0.006,11,90,458,515,7,NA,NA,NA,NA,NA,NA,NA,1081,0.005,0.191,NA,0.008,0.005,0.014,0.777,NA,5,207,NA,9,5,15,840,NA,6,0.006,NA,NA,"2017-11"
"571","MECKLENBURG","MT. ISLAND LIBRARY","11/07/2017",1180,0.021,0.121,0.506,0.347,0.005,25,143,597,409,6,NA,NA,NA,NA,NA,NA,NA,1180,0.003,0.358,0.003,0.008,0.003,0.015,0.609,NA,3,422,4,10,4,18,719,NA,8,0.007,NA,NA,"2017-11"
"572","MECKLENBURG","NORTH COUNTY REGIONAL LIBRARY","11/07/2017",1635,0.015,0.118,0.515,0.351,0.001,24,193,842,574,2,NA,NA,NA,NA,NA,NA,NA,1635,0.01,0.119,0.002,0.016,0.002,0.02,0.831,NA,16,195,4,26,4,32,1358,NA,6,0.004,NA,NA,"2017-11"
"573","MECKLENBURG","SOUTH COUNTY REGIONAL LIBRARY","11/07/2017",4623,0.011,0.093,0.451,0.442,0.003,52,431,2083,2045,12,NA,NA,NA,NA,NA,NA,NA,4623,0.025,0.094,0.001,0.019,0.003,0.019,0.839,NA,117,434,6,87,14,86,3879,NA,29,0.006,NA,NA,"2017-11"
"574","MECKLENBURG","SOUTHPARK - REXFORD 1 OFFICE BUILDING","11/07/2017",2858,0.012,0.141,0.477,0.367,0.003,33,402,1364,1049,10,NA,NA,NA,NA,NA,NA,NA,2858,0.004,0.05,0,0.008,0,0.013,0.924,NA,12,144,1,22,1,36,2642,NA,19,0.007,NA,NA,"2017-11"
